CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks
8.9,1,3,1,74,4.5,1,1,62,81
6.7,0,1,0,76,4.2,1,1,62,66
8.7,2,3,2,90,4.8,1,1,77,86
8.2,2,3,2,90,4.8,1,1,81,84
8.2,2,2,1,87,4.5,1,1,70,70
6.8,1,2,1,68,4.3,0,1,64,69
6.5,1,1,1,80,4.4,0,1,60,65
7.5,2,3,2,90,4.7,1,1,83,85
7.6,1,2,0,65,4.8,0,1,62,73
8.2,1,3,1,86,4.3,1,1,71,85
6.8,0,1,0,78,4.7,1,1,64,68
7.4,1,2,2,78,4.4,1,1,82,68
7.4,1,3,2,81,4.5,1,1,73,83
8.3,1,3,0,90,4.1,1,1,82,81
8.0,1,1,2,82,4.6,1,1,63,88
8.0,2,3,2,90,4.8,1,1,84,83
7.5,2,1,0,72,3.6,0,1,61,60
6.5,2,1,0,76,3.7,1,1,61,73
8.7,2,3,0,87,4.8,1,1,76,88
8.1,2,3,2,90,4.8,1,1,88,87
8.1,0,3,1,86,4.7,1,1,63,79
8.6,0,3,2,90,4.8,1,1,77,83
7.4,1,3,0,77,4.8,0,1,56,68
6.5,0,3,2,84,3.9,1,1,83,88
7.4,1,1,0,81,4.0,0,0,62,73
7.6,0,1,0,85,4.1,0,0,61,68
8.3,0,3,2,90,4.3,1,1,77,85
7.7,1,2,0,73,3.8,0,1,55,74
7.5,0,3,1,73,4.0,0,0,56,66
8.1,2,2,0,80,4.8,1,0,55,82
7.8,1,1,2,82,4.2,1,1,55,86
6.5,0,1,0,72,4.1,0,0,56,68
6.9,1,1,0,83,3.5,0,1,61,71
7.7,0,2,2,83,4.5,1,1,63,82
6.5,1,1,1,62,4.1,0,1,60,64
8.4,2,3,2,90,4.8,1,1,80,85
7.3,0,1,0,60,3.2,0,0,55,62
8.1,2,3,2,90,4.8,1,1,71,86
7.6,1,1,0,79,4.0,0,1,62,69
8.3,1,3,2,90,4.8,1,1,75,85
8.0,2,3,0,90,4.8,1,1,76,86
7.4,1,1,3,70,4.5,0,1,55,65
7.4,1,1,0,72,3.6,0,0,55,71
7.8,1,1,0,63,4.4,0,1,55,68
6.5,1,1,0,66,3.9,0,0,55,73
8.4,2,3,2,84,4.7,1,1,77,85
7.5,1,2,0,81,4.0,1,1,71,88
6.9,1,1,0,77,3.4,0,0,60,65
8.3,1,1,0,70,4.6,1,1,79,84
7.8,2,3,2,84,4.1,1,1,76,80
6.7,0,1,1,72,4.5,0,1,55,72
8.9,2,3,2,85,4.6,1,1,75,84
8.5,1,3,2,88,4.8,1,1,83,83
6.5,1,1,0,67,3.8,0,1,55,71
7.6,1,1,0,72,4.2,0,1,74,69
8.4,2,3,2,90,4.8,1,0,82,82
8.8,2,3,2,90,4.7,1,1,81,79
8.3,1,3,2,90,4.6,1,1,85,84
6.5,1,1,1,83,4.2,0,0,58,76
7.6,1,1,2,81,4.2,1,1,86,81
7.4,1,2,0,80,4.2,1,1,83,80
7.6,2,3,2,90,4.8,1,1,75,86
6.9,1,3,2,65,4.0,0,1,79,60
7.8,1,1,0,73,4.6,0,1,64,69
8.4,0,3,2,90,4.8,1,1,75,83
8.1,2,3,2,81,4.5,1,1,76,71
8.7,2,3,0,86,4.8,1,1,70,80
8.0,2,2,2,77,4.8,1,0,76,80
8.1,2,3,2,90,4.8,1,1,82,81
6.9,2,1,2,84,4.7,1,1,73,82
8.2,2,3,2,90,4.6,1,1,83,88
6.5,1,1,1,64,4.4,1,0,57,61
6.6,1,1,0,68,3.9,1,1,55,67
8.3,0,3,0,90,4.7,1,1,69,82
8.3,2,3,2,90,4.8,1,1,81,86
7.8,1,1,0,68,4.3,1,1,56,72
7.0,0,1,1,81,4.6,1,1,77,87
7.8,1,2,0,70,4.8,1,1,74,67
8.2,1,2,1,86,4.3,1,1,86,63
6.5,2,1,0,75,4.3,1,1,69,73
6.5,1,1,0,68,4.1,0,0,61,66
7.7,1,1,0,84,4.7,1,1,71,63
6.9,0,1,0,73,4.2,0,0,55,59
8.3,1,2,0,78,4.6,1,1,74,60
7.7,1,1,0,60,3.7,0,1,66,63
8.3,0,3,2,90,4.7,1,1,85,88
8.9,0,1,1,90,4.6,0,1,79,87
7.6,1,1,1,83,4.2,1,1,68,86
7.4,1,1,0,82,4.7,1,1,84,87
8.1,2,3,2,86,4.5,1,1,80,86
6.7,0,1,0,70,4.7,1,1,61,85
7.4,1,2,2,84,4.2,1,1,55,86
7.6,1,2,1,76,3.9,0,0,55,69
8.1,1,2,0,68,4.7,0,1,67,87
6.5,1,2,0,71,3.9,0,1,55,65
7.5,0,1,0,76,4.4,0,1,55,65
7.4,1,2,1,75,4.2,0,1,55,74
8.0,1,3,2,86,4.8,1,0,84,85
7.9,2,2,2,90,4.8,1,1,72,77
8.3,0,3,0,90,4.6,1,1,81,88
8.2,1,3,2,90,4.5,1,1,75,85
6.7,1,1,1,69,4.0,0,0,55,67
7.8,1,3,2,88,4.3,1,1,84,86
8.3,1,3,2,90,4.7,1,1,65,87
8.1,0,1,2,90,4.7,1,1,78,74
8.3,2,3,0,90,4.8,1,1,75,86
8.3,1,1,1,73,4.3,1,1,59,62
7.4,1,2,1,84,4.6,0,1,55,70
7.5,2,1,1,82,4.7,0,1,76,59
7.7,1,3,1,78,3.9,1,0,66,83
8.4,1,2,1,79,3.8,1,1,76,82
7.6,1,1,2,75,4.8,0,1,60,68
8.8,1,3,2,90,4.8,1,1,81,88
7.5,1,1,0,65,3.3,1,1,55,64
8.0,2,3,2,90,4.8,1,1,83,86
8.1,2,3,2,90,4.8,1,1,89,83
7.3,1,1,0,71,4.6,1,1,75,67
6.5,1,2,1,72,4.0,0,0,62,70
6.6,0,3,0,84,4.8,1,1,78,73
7.7,1,1,0,70,3.9,0,1,55,67
7.7,2,3,0,90,4.6,1,1,75,86
7.3,1,2,0,82,4.4,1,0,55,65
7.6,1,2,0,67,4.2,0,1,74,75
7.3,0,1,0,64,3.7,0,0,62,72
7.5,1,1,0,71,4.0,0,0,60,57
7.1,1,1,1,76,4.2,1,1,81,82
7.4,1,2,1,90,4.3,0,1,56,69
8.3,1,1,1,77,3.4,0,0,58,63
8.4,2,3,2,86,4.3,1,1,76,84
6.5,1,1,0,67,3.9,0,0,84,66
7.7,0,1,1,74,4.0,0,1,62,65
8.5,2,1,2,83,4.3,1,1,65,84
8.2,1,2,0,88,4.3,0,0,76,81
7.9,2,3,2,90,4.8,1,1,81,86
6.8,1,1,0,79,4.3,0,0,55,63
7.5,1,2,0,67,4.1,0,0,59,67
7.5,1,3,0,71,4.7,0,0,73,66
8.4,2,3,2,85,4.7,1,1,87,85
8.6,2,3,2,90,4.8,1,1,73,88
7.8,0,2,0,74,4.3,0,0,56,64
6.6,1,2,0,61,3.9,0,0,55,61
8.0,1,3,0,90,4.8,1,1,72,88
7.6,1,2,2,81,3.8,1,0,84,86
8.2,2,3,2,86,4.4,1,1,78,66
7.6,1,1,1,77,4.0,0,1,55,65
8.2,1,2,2,74,4.4,1,1,72,81
7.6,1,3,3,82,4.8,1,0,79,83
8.4,2,3,2,90,4.8,1,1,79,88
6.5,1,2,0,70,3.9,0,1,63,63
7.6,0,1,0,83,4.0,0,1,79,86
7.6,1,3,2,71,4.2,1,1,72,68
7.7,0,1,0,83,4.7,1,1,78,84
7.0,0,1,2,86,4.7,0,1,68,82
7.5,1,1,0,69,4.5,0,0,64,66
7.7,0,2,0,74,4.5,1,1,60,66
6.7,1,2,0,75,4.8,1,1,55,67
8.0,0,0,2,76,4.8,1,0,62,64
8.6,2,2,2,81,4.6,1,1,83,84
8.3,2,3,2,90,4.7,0,1,71,73
6.5,1,1,1,60,4.0,0,0,55,74
6.6,1,3,2,89,4.5,1,1,71,88
6.5,1,1,0,75,3.3,0,0,55,63
7.5,0,1,0,68,3.8,0,1,55,62
8.4,1,3,2,87,4.8,1,1,75,88
8.3,1,1,1,77,3.6,0,1,55,67
7.4,2,1,1,87,4.5,1,1,68,84
7.4,0,2,0,78,4.4,0,1,78,69
8.3,1,3,0,77,4.8,1,1,74,57
8.0,1,1,0,81,4.6,1,1,85,87
7.8,1,2,1,68,3.9,0,0,61,63
7.4,1,2,1,74,4.3,0,0,56,70
8.3,1,3,1,67,3.7,1,1,66,68
7.6,0,1,0,72,4.5,0,0,60,66
7.8,1,3,2,87,4.3,1,1,73,72
6.6,0,1,1,66,3.8,0,0,62,58
7.7,0,2,0,85,4.0,0,1,55,64
6.6,0,2,0,75,3.9,0,1,55,69
7.6,1,1,2,85,4.3,0,1,60,87
8.8,1,3,2,90,4.8,1,1,85,83
8.1,1,1,1,77,4.6,1,1,73,87
6.5,1,1,0,87,4.8,0,0,63,66
7.3,1,2,1,61,4.5,0,1,55,84
6.5,1,1,1,85,4.8,0,1,55,61
7.5,1,1,1,66,3.7,0,1,69,70
7.4,1,2,0,77,4.1,1,1,55,77
6.5,1,2,0,69,4.7,0,1,80,69
8.3,2,3,2,89,4.6,1,1,77,88
7.5,1,1,1,68,3.8,0,0,56,63
7.5,0,2,0,80,3.8,1,1,77,69
6.7,1,1,2,69,3.5,0,0,77,58
7.5,1,1,2,72,3.9,1,0,85,66
6.8,1,1,1,78,4.1,0,0,73,72
7.6,1,1,1,80,3.6,0,1,59,75
7.8,1,1,0,79,4.6,0,0,76,63
8.0,1,2,2,85,4.8,1,1,68,82
8.2,1,3,0,86,4.5,1,1,63,72
7.7,2,3,0,79,3.9,1,1,82,86
7.6,0,1,1,75,3.6,0,1,59,62
8.1,0,2,0,73,4.7,1,1,78,67
6.6,1,1,0,76,4.4,0,0,59,70
8.2,1,1,0,73,4.5,0,1,76,84
6.9,0,1,1,76,3.8,0,0,61,67
8.1,2,3,2,78,3.4,1,1,83,81
7.0,1,2,2,82,3.9,0,0,62,64
6.9,1,2,1,78,4.5,0,1,68,64
7.5,1,1,0,90,4.6,0,1,68,73
8.0,2,3,0,75,4.4,0,1,70,82
8.0,2,2,0,87,4.2,1,1,65,83
7.4,0,2,0,81,3.8,1,1,72,73
8.2,2,3,2,90,4.6,1,1,75,83
7.5,1,1,1,72,4.0,0,1,63,62
8.0,2,2,2,85,4.5,1,1,79,81
7.9,0,2,0,69,4.1,0,0,55,65
8.4,2,3,2,90,4.8,1,1,76,86
7.5,1,1,2,75,3.5,0,1,69,67
8.1,2,2,1,65,4.8,1,0,56,68
7.3,1,1,0,66,3.7,0,0,59,68
8.2,0,3,2,90,4.7,1,1,76,85
7.7,0,1,2,78,4.6,0,1,55,85
8.6,2,3,2,87,4.4,1,1,69,86
8.0,2,3,0,88,4.5,1,0,77,84
8.5,2,1,0,83,4.7,0,1,70,71
6.6,0,1,0,67,3.3,0,1,55,69
7.8,1,2,0,83,4.7,0,1,55,85
7.3,0,1,0,85,4.2,0,1,73,68
8.6,2,3,2,90,4.8,1,1,77,82
8.5,2,3,1,90,4.7,1,1,75,88
7.5,1,2,1,68,4.8,0,0,58,70
6.8,0,1,0,86,4.0,0,0,55,71
7.5,1,2,1,76,3.4,0,0,55,65
7.7,1,3,2,85,4.8,1,1,80,86
7.7,1,1,1,90,4.1,0,1,75,71
7.5,1,2,2,82,4.1,1,1,83,69
8.4,1,1,0,84,4.7,1,0,62,63
8.3,2,2,0,81,4.0,1,0,75,82
7.5,2,2,0,79,4.5,1,1,82,82
8.2,0,1,2,79,4.4,0,1,80,73
8.6,2,3,2,90,4.6,1,1,69,86
7.7,0,3,1,80,4.3,0,0,55,71
6.8,1,3,1,86,4.8,1,1,76,79
7.6,2,3,2,77,4.8,1,1,79,77
7.9,2,1,2,88,3.6,0,0,73,66
8.3,2,3,2,90,4.4,1,1,78,87
7.5,1,2,0,77,4.8,0,1,55,59
7.9,0,1,0,66,4.1,0,0,72,84
8.1,1,3,2,85,4.8,0,1,55,73
6.9,1,2,0,73,4.2,0,0,55,57
8.4,2,2,2,84,4.7,1,1,85,82
7.8,1,2,1,81,4.1,1,1,61,78
7.4,1,1,0,62,3.6,0,0,57,72
8.3,1,1,2,82,4.3,1,0,55,83
8.4,2,3,2,90,4.8,1,1,81,81
6.9,1,1,1,68,4.4,1,1,55,65
8.4,2,3,2,90,4.8,1,1,80,85
8.8,1,3,2,90,4.8,1,1,85,81
7.8,0,1,2,76,4.3,1,1,60,73
8.3,2,2,2,90,4.7,0,1,73,85
8.4,0,3,2,90,4.8,1,1,88,84
6.7,0,1,1,70,4.5,0,0,61,61
8.7,1,3,2,85,4.8,1,1,80,80
7.5,2,3,3,86,4.1,1,1,69,86
6.8,0,1,1,64,3.8,0,0,55,71
7.5,1,3,1,87,4.6,1,1,81,86
8.6,2,3,2,90,4.8,1,1,87,84
8.6,2,3,3,87,4.8,0,1,73,85
8.4,1,2,2,88,4.1,1,1,66,86
7.7,0,2,1,75,4.1,1,1,79,66
8.0,1,3,2,90,4.8,1,1,66,79
8.4,1,2,1,76,4.0,1,1,55,84
7.9,1,1,1,73,4.3,0,0,55,82
8.3,1,3,1,90,4.5,1,1,88,77
6.5,1,1,1,82,3.4,0,0,56,66
8.0,0,3,2,90,4.8,1,1,80,85
7.7,1,2,1,69,4.5,0,1,55,61
8.3,1,3,2,90,4.8,1,1,83,88
7.6,0,1,1,84,4.3,0,0,55,68
7.5,2,3,2,77,4.8,1,1,58,73
7.5,0,1,1,62,3.7,0,0,55,65
8.5,2,3,2,82,4.4,1,1,76,65
8.5,2,3,2,81,4.5,1,1,78,84
8.0,1,1,2,78,4.3,1,0,67,69
7.5,2,2,0,86,3.9,1,1,84,88
7.5,1,1,1,76,3.9,0,0,55,66
7.7,1,2,1,69,4.8,1,1,61,70
6.7,1,2,1,80,4.5,0,1,59,62
7.6,1,2,0,81,4.5,0,1,76,84
6.5,1,2,1,78,3.9,0,1,62,68
7.0,1,1,1,62,3.4,0,0,55,63
8.1,1,3,2,69,4.6,1,1,55,80
7.5,1,1,0,81,3.8,1,1,60,64
7.5,0,2,0,72,4.3,0,0,56,71
6.5,0,1,0,76,4.3,0,0,59,66
8.7,1,2,0,69,4.6,1,1,65,81
7.0,1,2,1,67,3.4,0,1,56,64
6.5,1,2,0,76,4.3,1,1,69,73
7.4,1,3,0,86,4.8,0,1,70,73
6.7,2,3,2,83,4.0,0,0,79,68
8.6,2,3,2,90,4.8,1,1,80,85
8.7,2,3,3,81,4.2,1,1,87,84
7.4,1,1,0,75,4.3,0,1,62,66
8.3,2,3,2,90,4.8,1,1,80,84
8.3,1,1,1,71,4.8,1,1,78,83
6.5,1,1,1,61,3.1,0,0,68,74
7.3,1,1,3,83,4.5,1,1,64,76
8.0,0,3,2,90,4.8,1,1,84,82
7.5,1,1,1,77,3.8,0,1,63,65
8.2,1,3,0,77,4.3,0,0,55,73
7.5,2,3,2,90,4.1,0,1,63,83
8.0,1,3,1,87,4.6,1,1,72,83
7.8,2,3,0,82,4.3,1,1,72,88
8.0,2,3,2,86,4.7,1,1,85,85
7.9,0,1,0,89,4.8,1,1,81,85
8.1,1,3,2,82,4.2,1,1,72,67
8.5,1,1,0,80,4.6,0,0,61,69
7.2,1,2,2,84,4.8,1,1,80,79
6.7,1,1,1,82,4.4,1,1,82,73
8.0,2,3,2,85,4.8,1,1,74,87
7.6,1,2,1,77,4.4,1,1,76,87
6.6,1,2,2,83,4.6,1,1,82,70
8.3,1,3,2,85,4.1,1,1,76,86
7.6,1,1,1,72,4.2,1,1,57,67
6.5,2,1,0,78,3.1,0,0,56,67
7.4,1,1,0,78,3.9,0,0,55,80
8.2,0,2,0,67,3.6,0,0,64,70
7.6,0,1,0,82,3.8,0,0,80,70
8.3,2,3,2,90,4.8,1,1,80,86
7.9,2,1,0,81,3.7,1,1,79,66
8.6,1,3,2,90,4.8,1,1,84,85
7.2,1,2,1,77,4.1,0,1,55,64
7.6,1,2,2,73,4.7,1,1,61,75
7.5,1,1,1,68,4.5,0,1,59,63
8.2,2,2,2,90,4.8,1,1,89,84
8.6,1,2,2,81,4.3,1,1,79,84
8.2,2,3,2,90,4.1,1,1,73,69
6.5,1,2,1,70,3.9,0,0,56,68
7.5,1,2,1,83,4.6,0,1,62,69
7.5,0,3,0,73,4.5,1,0,68,83
8.5,2,3,2,86,4.8,1,1,83,81
7.7,2,3,0,78,4.1,1,1,70,81
8.4,2,3,0,90,4.8,1,1,80,86
8.0,0,3,1,82,4.8,1,1,70,85
6.8,1,2,0,88,4.8,1,1,80,64
8.1,1,3,0,70,4.8,1,0,71,72
7.4,2,3,1,89,4.6,1,1,59,64
8.4,1,1,2,67,3.8,1,1,76,69
7.7,1,2,1,76,4.8,0,1,59,68
8.2,2,3,2,73,4.3,1,1,55,70
8.3,2,3,2,90,4.8,1,1,82,84
7.7,1,2,0,81,4.4,0,1,75,83
8.0,1,3,0,80,4.0,1,1,83,68
6.5,0,3,2,86,4.6,1,1,76,83
7.4,1,2,2,77,4.6,1,1,66,83
8.2,2,3,2,84,4.8,1,1,75,83
8.0,1,2,0,88,4.4,1,1,78,76
6.8,1,1,0,66,3.5,0,0,56,72
7.6,1,3,2,72,4.8,1,1,75,70
7.6,1,2,2,75,4.6,0,0,61,64
7.3,1,1,1,77,3.8,0,1,68,69
8.3,2,3,2,90,4.8,1,1,81,87
7.2,1,2,0,74,4.1,0,0,70,65
8.4,2,3,2,90,4.8,1,1,78,76
8.6,1,3,2,90,4.6,1,1,85,84
6.6,1,1,0,78,4.6,0,1,55,67
8.3,0,1,0,87,4.5,0,1,74,69
7.9,2,3,0,84,4.7,0,1,70,69
7.5,1,1,0,60,3.7,0,1,55,74
8.0,1,3,0,74,3.8,0,1,77,68
6.7,1,2,1,77,4.5,1,1,75,84
7.4,1,3,0,81,4.6,1,1,80,71
7.8,1,1,0,76,3.9,0,1,57,64
8.2,1,0,2,90,4.7,1,1,73,88
6.7,1,1,1,77,4.7,1,0,69,70
6.7,1,1,1,82,4.3,0,1,55,65
6.7,0,1,1,85,4.2,1,1,68,64
7.2,1,1,1,79,4.3,0,0,55,75
7.6,1,2,0,84,4.4,1,1,72,86
8.1,0,3,0,77,3.9,1,0,69,65
7.6,1,1,0,84,4.5,0,1,63,81
8.2,0,1,2,77,4.3,0,0,68,68
8.9,1,3,1,90,4.7,1,1,72,87
8.3,1,2,0,85,4.6,1,1,73,77
6.6,1,1,1,80,3.9,1,1,84,81
6.5,2,2,1,76,3.9,1,1,60,68
6.8,1,1,3,72,4.3,0,1,75,74
7.7,1,3,2,84,4.8,0,1,70,67
7.3,0,1,1,74,3.8,0,1,60,65
7.4,1,3,0,70,3.8,0,0,78,86
6.9,1,2,1,70,4.1,0,0,60,64
6.5,1,2,2,90,4.8,0,1,70,68
7.4,1,1,0,70,3.1,0,0,68,64
7.6,0,1,1,76,4.5,0,0,65,68
6.9,0,2,0,65,3.6,0,0,55,67
7.6,1,3,0,81,4.3,1,1,80,82
6.5,0,3,0,71,3.6,0,1,57,74
7.5,1,1,0,65,3.8,0,1,55,74
8.4,1,2,2,86,4.8,0,1,87,85
8.2,2,3,2,90,4.8,1,1,79,79
6.6,1,1,1,80,4.4,0,1,77,68
8.1,1,2,0,79,4.5,1,1,65,76
7.6,1,1,0,67,3.8,0,0,55,64
8.4,2,3,2,90,4.8,1,1,82,88
8.3,1,3,0,76,3.8,1,1,77,66
7.8,1,3,2,77,4.2,1,0,77,82
7.5,1,1,0,67,4.1,0,0,57,67
8.3,1,3,0,84,4.6,1,1,72,83
8.2,1,3,2,87,4.8,1,0,90,85
8.8,2,3,2,90,4.8,1,1,74,88
7.5,0,1,0,63,4.3,1,1,55,64
7.6,0,1,0,60,4.0,0,1,58,66
8.7,1,2,1,90,4.6,0,0,74,68
7.6,1,2,0,72,3.7,0,0,55,64
7.0,1,2,1,78,4.8,1,1,55,68
8.1,2,3,2,90,4.8,1,1,86,88
7.7,0,1,1,85,4.4,0,1,61,65
8.5,1,3,0,86,4.5,1,0,79,78
7.6,1,3,0,82,4.8,1,1,69,84
7.5,1,1,1,66,4.0,0,1,61,72
6.9,0,2,0,77,4.2,0,0,70,68
6.5,0,1,0,65,4.1,1,0,55,67
7.5,1,1,0,69,4.3,0,0,60,71
7.7,2,1,0,80,3.8,0,1,55,64
7.6,2,2,0,86,4.0,1,1,55,67
7.5,1,1,0,71,4.0,0,0,63,64
8.6,2,3,2,90,4.8,1,1,71,88
8.4,1,3,2,90,4.5,1,1,79,86
6.5,0,1,1,68,3.5,0,1,62,69
7.1,1,2,0,70,4.0,0,0,57,72
7.3,1,1,0,62,4.1,0,0,57,73
6.7,0,1,1,70,4.6,1,1,64,73
8.4,1,1,1,79,4.1,0,0,59,66
8.5,2,3,0,82,4.4,1,1,87,83
7.6,1,3,2,84,4.6,1,1,79,76
6.5,1,1,0,79,3.6,0,1,55,64
6.5,1,2,0,77,3.5,0,1,57,68
8.5,1,3,1,83,4.7,1,1,55,84
7.8,2,3,2,90,4.8,1,1,90,78
7.4,1,0,1,67,3.6,0,0,55,63
6.5,1,2,3,81,4.2,0,1,57,67
6.5,1,1,1,67,3.6,0,0,55,65
8.2,2,2,1,90,4.8,0,1,72,62
7.4,2,3,0,78,4.8,1,1,78,71
6.5,1,1,1,80,3.8,1,1,58,65
6.7,1,3,0,73,4.5,1,1,70,73
6.5,1,1,2,74,4.7,1,1,66,67
8.4,0,1,0,86,3.8,0,1,57,68
7.9,1,2,2,87,3.6,1,0,80,88
8.3,1,3,0,90,4.8,1,1,83,82
7.4,0,1,0,72,4.5,0,1,55,75
8.5,1,2,2,78,4.8,1,1,57,70
7.4,1,3,1,68,3.4,1,1,60,74
8.1,0,3,2,90,4.8,1,1,69,84
8.4,1,3,2,68,3.6,1,1,72,61
7.4,1,2,1,82,4.5,0,1,59,66
7.6,0,2,0,87,3.8,0,1,60,66
8.0,1,3,0,79,4.3,1,1,79,78
7.8,1,3,1,80,4.2,0,1,71,87
7.6,2,3,2,81,4.3,1,1,86,69
8.7,1,3,2,90,4.7,1,1,81,80
6.5,2,2,1,61,3.5,0,0,59,67
6.5,1,1,0,78,3.6,0,1,78,72
7.4,1,1,0,74,3.7,0,0,78,65
7.5,1,1,0,74,3.4,0,1,57,73
6.8,1,1,1,72,4.8,0,1,62,67
7.6,1,1,0,66,3.7,1,1,65,60
7.6,1,2,1,72,3.8,0,1,55,67
6.6,0,3,0,85,4.0,1,0,64,62
7.7,2,3,1,67,4.2,1,1,64,80
7.6,1,1,0,83,3.7,1,1,69,82
7.2,0,2,1,77,4.6,1,1,55,63
8.2,2,3,2,87,4.6,1,0,87,86
7.4,2,2,0,66,4.2,1,0,69,69
6.5,1,1,1,79,3.8,0,1,60,69
6.5,1,1,1,75,3.8,0,1,56,64
7.4,1,1,0,86,4.5,1,1,69,86
8.2,0,3,0,65,4.2,1,1,71,73
8.0,1,3,2,79,4.8,1,1,83,85
8.6,1,3,0,83,4.8,1,1,81,86
8.6,2,2,0,70,4.1,1,1,79,64
7.8,0,1,1,69,4.2,0,0,57,71
8.0,1,3,2,90,4.7,1,1,76,88
8.2,2,3,2,90,4.8,1,1,84,85
8.3,0,3,2,90,4.5,1,1,74,83
8.3,2,3,2,82,4.8,1,1,79,81
8.3,2,1,1,84,3.5,1,1,55,73
7.6,2,3,1,78,3.8,0,1,62,64
7.6,0,3,1,90,4.6,1,1,80,72
7.6,1,3,0,75,4.0,0,1,55,73
6.9,1,1,1,74,4.1,0,1,55,61
7.5,1,1,1,83,4.4,0,1,56,63
6.8,2,3,0,73,4.4,1,1,72,82
8.4,2,2,0,79,4.6,0,1,65,86
8.2,0,1,1,85,4.7,1,0,81,66
8.6,1,3,3,90,4.8,1,1,72,85
7.3,1,3,0,80,4.2,0,0,67,64
7.9,2,3,2,75,3.9,1,1,75,68
6.8,1,3,0,61,4.3,0,0,59,68
7.4,2,3,0,80,4.0,0,1,79,62
6.6,1,2,0,71,4.0,0,0,55,68
6.9,0,2,1,78,4.1,0,1,55,64
6.5,1,1,0,84,4.5,1,1,55,84
7.4,1,2,1,82,4.0,0,0,58,62
6.7,0,1,0,75,4.6,0,1,63,61
6.8,1,1,1,60,4.4,0,1,62,66
7.1,1,2,0,76,4.1,0,1,73,85
8.7,2,3,2,83,4.8,1,1,79,86
7.6,1,1,0,68,4.0,0,0,62,72
7.3,1,2,1,69,4.3,1,0,55,72
8.4,0,2,3,82,4.4,1,1,77,88
6.7,1,1,0,70,3.6,0,0,64,69
7.1,1,2,1,84,4.3,1,1,75,82
7.0,1,2,0,73,4.5,0,1,55,80
7.9,0,2,2,85,4.0,1,1,85,88
8.2,2,3,2,90,4.7,1,1,74,87
8.1,1,2,0,89,4.7,1,1,75,85
8.0,2,3,0,86,4.8,1,1,73,82
8.1,0,2,2,75,4.3,1,1,84,88
8.0,2,2,3,82,4.0,1,1,59,82
7.6,2,3,0,81,3.9,1,1,68,80
8.0,2,1,2,90,4.8,1,1,74,81
7.4,1,2,0,84,4.5,1,1,61,66
8.5,1,3,2,83,4.4,1,1,84,83
7.4,1,2,2,77,4.1,0,0,55,71
8.3,1,3,2,81,4.7,1,1,76,86
8.2,1,2,2,90,4.8,1,1,74,86
7.7,1,1,1,72,4.0,1,1,66,77
8.2,1,3,2,89,4.3,1,0,84,82
7.5,0,2,0,72,4.1,1,1,74,77
8.3,2,3,2,90,4.7,1,1,77,81
8.1,2,1,0,85,4.1,1,1,83,79
7.5,0,2,1,80,4.7,0,1,82,82
6.5,1,1,0,76,4.5,1,1,55,65
7.4,1,2,0,71,3.7,0,1,55,62
8.4,1,3,2,85,4.2,1,1,89,88
6.7,1,1,1,81,4.5,0,1,55,68
7.6,1,1,1,71,4.2,0,0,64,71
7.6,1,1,1,73,3.7,0,0,55,63
7.5,0,2,0,62,4.3,0,1,81,69
7.6,1,3,2,90,4.0,1,1,73,84
8.3,2,3,2,90,4.8,1,1,75,85
7.7,1,3,2,90,4.4,1,1,69,86
8.6,2,3,2,89,4.8,1,1,80,85
7.7,1,1,1,80,3.9,0,0,59,67
8.2,0,1,1,64,3.9,0,1,55,82
8.3,1,3,2,90,4.7,1,1,86,86
8.5,2,3,2,90,4.6,1,1,71,84
7.6,1,3,1,80,4.3,0,1,55,83
7.9,1,2,0,76,4.7,1,0,78,61
8.2,2,3,2,86,4.5,0,0,77,80
7.2,1,2,2,70,4.1,0,0,61,69
6.5,1,2,0,81,4.1,1,1,56,81
7.2,0,1,0,75,3.5,0,0,55,74
8.5,2,3,2,90,4.8,1,1,73,88
7.6,1,1,0,71,4.1,0,1,58,59
7.6,1,3,0,82,3.8,1,1,78,65
7.6,1,2,0,74,3.4,0,1,57,57
6.5,1,3,2,77,4.5,0,1,73,67
6.5,0,1,0,75,3.7,0,1,63,67
8.0,2,3,2,90,4.8,1,1,73,88
7.4,1,1,2,80,4.3,1,1,55,66
8.6,0,3,1,87,4.6,1,1,72,85
8.1,1,2,1,77,4.4,0,1,55,68
8.3,0,3,2,89,4.4,1,1,75,82
8.1,2,3,2,89,4.8,1,1,87,87
8.5,1,3,2,88,4.7,1,1,74,88
7.8,1,1,0,73,3.2,0,1,57,69
8.1,2,3,0,86,4.5,0,1,73,83
7.5,0,2,1,70,4.4,0,1,55,69
8.4,2,3,2,90,4.8,1,1,79,86
7.5,1,1,0,77,4.0,0,1,55,65
8.3,2,3,2,90,4.8,1,1,78,83
6.5,1,2,2,70,4.1,0,0,68,68
8.1,2,2,0,90,4.8,1,1,76,88
7.7,1,1,1,68,4.6,1,0,65,65
7.3,0,2,1,74,3.7,0,0,58,68
7.2,1,1,0,83,4.1,0,1,77,75
8.8,2,3,2,90,4.8,1,1,72,86
8.1,1,3,2,89,4.7,1,1,71,80
6.5,0,1,1,72,4.5,0,0,55,67
6.5,1,1,1,64,3.4,0,0,56,61
7.6,2,2,0,89,3.8,1,0,81,65
